Audio File,Speaker,Time Range,Text
audio_1.wav,SPEAKER_00,0.0-4.0, It's time we stop doing what we've always done.
audio_1.wav,SPEAKER_00,4.0-7.0, Let's instead give Wales a voice.
audio_1.wav,SPEAKER_00,7.0-9.0, Give Plaid Cymru a mandate.
audio_1.wav,SPEAKER_00,9.0-16.0, Elect a strong team of Plaid Cymru MPs to fight for a successful future for Wales.
audio_1.wav,SPEAKER_02,16.0-20.0, And our next opening statement is from Caroline Lucas of the Green Party.
audio_1.wav,SPEAKER_01,20.0-26.0," On June 8th, you can lay the foundations for a new kind of politics."
audio_1.wav,SPEAKER_01,26.0-29.0, Your vote can change everything.
audio_1.wav,SPEAKER_01,29.0-36.0," Imagine this. A country that leads the world in clean energy, not fracks its way to climate chaos."
audio_1.wav,SPEAKER_01,36.0-40.0, A country that spends its money on hospitals.
audio_2.wav,SPEAKER_00,0.0-8.6," up to an energy performance certificate C rating by 2030. As my hon. Friend has said, this will indeed help to save energy and also bring down bills."
audio_2.wav,SPEAKER_01,8.6-9.8, Jeremy Corbyn.
audio_2.wav,SPEAKER_01,9.8-31.5," Thank you, Mr Speaker. I joined the Prime Minister in commemorating all the victims of the Manchester bombing two years ago. Our thoughts are with the friends and the family of all those that were killed, the survivors and, of course, the emergency service workers who gave such heroic service that night. They live with the horrors of this for the rest of their lives and tens of thousands of lives."
audio_3.wav,SPEAKER_01,0.0-3.5, because they're not walking enough and they're not walking in the right material.
audio_3.wav,SPEAKER_00,3.5-11.8," It turned out captive-born female Asian elephants, the majority of the zoo population, were living 19 years on average."
audio_3.wav,SPEAKER_00,11.8-15.1," We looked to the nearest thing, which was timber camps."
